Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_std,710,22,-1295.32373046875,0.962277054786682,0.0001406380828166,0.9240016711617834,0.0003193167137544
halpha_ew_std,710,20,-1252.7916259765625,0.967173159122467,0.0001867436846194,0.937549077524043,0.0003862537327353
oiii_5007_ew_std,710,34,-1218.01171875,0.9359676837921144,0.0002060225384288,0.8542366249040915,0.000563866617153
hbeta_ew_std,710,15,-1287.815185546875,0.9556947350502014,0.0001580727583532,0.9167818384325525,0.0003205007865792
cov_nii_6584_ew_halpha_ew,710,20,-1400.686767578125,0.9681471586227416,6.966999154286775e-05,0.9394453986788474,0.0001500012836974
cov_nii_6584_ew_oiii_5007_ew,710,31,-1443.1529541015625,0.9070912003517152,4.748666973231421e-05,0.7817790424205207,0.0001121678465656
cov_nii_6584_ew_hbeta_ew,710,20,-1452.8973388671875,0.963310956954956,4.919039361131344e-05,0.9305390866133394,0.0001019939416397
cov_halpha_ew_oiii_5007_ew,710,26,-1364.999755859375,0.9447128176689148,8.267143853411064e-05,0.9075899555674588,0.0001507917784107
cov_halpha_ew_hbeta_ew,710,16,-1370.35888671875,0.9631099700927734,8.817814923633517e-05,0.9303870261289736,0.000182005475615
cov_oiii_5007_ew_hbeta_ew,710,29,-1393.1221923828125,0.9494670033454896,6.85381907997944e-05,0.9132503724038984,0.0001265936151169
nii_6584_ew_mean,740,24,-1276.404052734375,0.9902294278144836,0.0001595442200898,0.9693770132909768,0.0005099753088297
halpha_ew_mean,740,23,-1206.0050048828125,0.996601700782776,0.0002386120873162,0.9892679849538696,0.0007547725600466
oiii_5007_ew_mean,740,33,-1153.7557373046875,0.9966683387756348,0.0003058071098319,0.9891536646349268,0.0009675061650975
hbeta_ew_mean,740,24,-1242.497802734375,0.9967806339263916,0.000193438241695,0.9894225810436847,0.0006401983834011
nii_6584_ew_std,740,20,-1293.69287109375,0.961864709854126,0.0001421753461156,0.9262421490574576,0.0003099030588777
halpha_ew_std,740,19,-1252.7384033203125,0.9671615362167358,0.0001868100091437,0.9392632960291304,0.0003756514346417
oiii_5007_ew_std,740,28,-1216.9329833984375,0.9333147406578064,0.0002145583051953,0.8577901947874688,0.0005501200952462
hbeta_ew_std,740,20,-1281.3900146484375,0.9567443132400512,0.0001543280768173,0.913905505755238,0.0003315784992825
cov_nii_6584_ew_halpha_ew,740,24,-1404.998779296875,0.9700665473937988,6.547173853985679e-05,0.940513153678371,0.0001473563216779
cov_nii_6584_ew_oiii_5007_ew,740,29,-1443.1549072265625,0.9070925116539,4.748600618435957e-05,0.7766636063051078,0.0001147972340437
cov_nii_6584_ew_hbeta_ew,740,15,-1456.8916015625,0.963061511516571,4.952481437879308e-05,0.9304911264649596,0.0001020643646205
cov_halpha_ew_oiii_5007_ew,740,29,-1363.070068359375,0.9458367824554444,8.099070223937294e-05,0.909204867047638,0.0001481566170972
cov_halpha_ew_hbeta_ew,740,16,-1370.3582763671875,0.963109850883484,8.817849016604764e-05,0.9303896225255296,0.0001819986872483
cov_oiii_5007_ew_hbeta_ew,740,27,-1393.13427734375,0.9494709968566896,6.853272541232819e-05,0.9125102487214358,0.0001276736766133
nii_6584_ew_mean,840,20,-1278.127197265625,0.990341067314148,0.000157721798676,0.9688878147975902,0.0005181221024496
halpha_ew_mean,840,19,-1208.8006591796875,0.9965510964393616,0.0002421617952085,0.9891735769566784,0.000761412186009
oiii_5007_ew_mean,840,28,-1150.878662109375,0.9963691830635072,0.0003332668684631,0.9893780845568028,0.0009474876380395
hbeta_ew_mean,840,22,-1242.1983642578125,0.996774196624756,0.0001938246722267,0.9895759616507288,0.0006309150206941
nii_6584_ew_std,840,20,-1295.779296875,0.9623914957046508,0.0001402115001331,0.9238505311676718,0.0003199517478002
halpha_ew_std,840,20,-1252.92626953125,0.9672026634216307,0.0001865759983592,0.9381997318086324,0.0003822294903995
oiii_5007_ew_std,840,26,-1222.3006591796875,0.9334732890129088,0.0002140481555484,0.856159733428066,0.0005564273224939
