Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
cov_halpha_ew_hbeta_ew,500,21,-1527.8779296875,0.9545273780822754,2.9839352055093957e-05,0.908172074595724,6.698962704107304e-05
cov_oiii_5007_ew_hbeta_ew,500,19,-1491.4349365234375,0.9398452043533324,3.804544407031589e-05,0.8535797677425931,9.901580317328064e-05
nii_6584_ew_mean,860,29,-1284.3316650390625,0.9962651133537292,0.0001324033349361,0.9932009287998032,0.0002527438698843
halpha_ew_mean,860,37,-1285.6024169921875,0.9991333484649658,0.0001228019443135,0.998448832996786,0.0002235359689054
oiii_5007_ew_mean,860,21,-1188.6502685546875,0.9977053999900818,0.0002769787829164,0.9951532685951986,0.0005743975712455
hbeta_ew_mean,860,26,-1310.5894775390625,0.9990047216415404,0.0001149164815979,0.9981130295603228,0.0002223046063265
nii_6584_ew_std,860,20,-1334.1707763671875,0.8674763441085815,0.0001085497801507,0.7252940683561238,0.0002858759189933
halpha_ew_std,860,22,-1339.3740234375,0.96149879693985,0.0001014043984773,0.9092953411840424,0.0002665196224761
oiii_5007_ew_std,860,28,-1192.4718017578125,0.8712254762649536,0.0002611409660857,0.7740308425342434,0.0005712262355088
hbeta_ew_std,860,20,-1345.779052734375,0.9527337551116944,0.0001004661051209,0.908609666200061,0.0002128341604862
cov_nii_6584_ew_halpha_ew,860,27,-1552.461181640625,0.934634566307068,2.369184800970551e-05,0.8496498731137749,6.676677157749159e-05
cov_nii_6584_ew_oiii_5007_ew,860,35,-1512.663818359375,0.9496949315071106,2.794489602746604e-05,0.8431857145939329,9.772062237349796e-05
cov_nii_6584_ew_hbeta_ew,860,30,-1580.813232421875,0.9112478494644164,1.89672470956872e-05,0.8320395334045693,4.3218846318427474e-05
cov_halpha_ew_oiii_5007_ew,860,32,-1494.0506591796875,0.9568814635276794,3.271146264864505e-05,0.8456340316942269,0.0001230466282757
cov_halpha_ew_hbeta_ew,860,31,-1529.34521484375,0.9592638611793518,2.6731252616458505e-05,0.9056575360055472,6.882401458271395e-05
cov_oiii_5007_ew_hbeta_ew,860,33,-1497.268798828125,0.9493767023086548,3.2017163443262344e-05,0.8222886044187568,0.0001201762645451
nii_6584_ew_mean,640,27,-1281.0748291015625,0.9960534572601318,0.0001399058488878,0.9927953791053564,0.0002678194877425
halpha_ew_mean,640,37,-1285.4542236328125,0.999132513999939,0.0001229232642934,0.9982994172200632,0.0002450680156484
oiii_5007_ew_mean,640,25,-1186.3486328125,0.997746467590332,0.000272021613287,0.9951435192218048,0.0005755529924832
hbeta_ew_mean,640,42,-1305.54833984375,0.9990688562393188,0.0001075116797709,0.9980228174660508,0.0002329325227376
