combo,complexity_nii_6584_ew,complexity_halpha_ew,complexity_oiii_5007_ew,complexity_hbeta_ew,r2_nii_6584_ew,r2_halpha_ew,r2_oiii_5007_ew,r2_hbeta_ew,mse_test_nii_6584_ew,mse_test_halpha_ew,mse_test_oiii_5007_ew,mse_test_hbeta_ew,mse_total
43-38-45-39,43,38,45,39,0.5397072434425354,0.7485301494598389,0.5916415452957153,0.7214324474334717,0.05441051449632982,0.05588305384379626,0.11187849624163723,0.05089443410633031,0.27306649868809363
41-38-41-46,41,38,41,46,0.538421630859375,0.7485301494598389,0.5914580821990967,0.7224181890487671,0.05460042296732544,0.05588305384379626,0.11187993661528238,0.05070382356115253,0.2730672369875566
41-38-45-45,41,38,45,45,0.538421630859375,0.7485301494598389,0.5916415452957153,0.7223343849182129,0.05460042296732544,0.05588305384379626,0.11187849624163723,0.05070569214389931,0.27306766519665826
43-38-41-39,43,38,41,39,0.5397072434425354,0.7485301494598389,0.5914580821990967,0.7214324474334717,0.05441051449632982,0.05588305384379626,0.11187993661528238,0.05089443410633031,0.27306793906173876
41-38-41-45,41,38,41,45,0.538421630859375,0.7485301494598389,0.5914580821990967,0.7223343849182129,0.05460042296732544,0.05588305384379626,0.11187993661528238,0.05070569214389931,0.2730691055703034
41-38-45-42,41,38,45,42,0.538421630859375,0.7485301494598389,0.5916415452957153,0.722253680229187,0.05460042296732544,0.05588305384379626,0.11187849624163723,0.05070912425734517,0.2730710973101041
41-38-41-42,41,38,41,42,0.538421630859375,0.7485301494598389,0.5914580821990967,0.722253680229187,0.05460042296732544,0.05588305384379626,0.11187993661528238,0.05070912425734517,0.27307253768374923
41-38-42-41,41,38,42,41,0.538421630859375,0.7485301494598389,0.591460645198822,0.7221635580062866,0.05460042296732544,0.05588305384379626,0.1118679374971305,0.05072549665690676,0.27307691096515896
41-38-45-41,41,38,45,41,0.538421630859375,0.7485301494598389,0.5916415452957153,0.7221635580062866,0.05460042296732544,0.05588305384379626,0.11187849624163723,0.05072549665690676,0.2730874697096657
41-38-41-41,41,38,41,41,0.538421630859375,0.7485301494598389,0.5914580821990967,0.7221635580062866,0.05460042296732544,0.05588305384379626,0.11187993661528238,0.05072549665690676,0.2730889100833108
41-38-40-40,41,38,40,40,0.538421630859375,0.7485301494598389,0.5910818576812744,0.7217997908592224,0.05460042296732544,0.05588305384379626,0.11180201702923849,0.05081034146032946,0.27309583530068965
47-38-42-39,47,38,42,39,0.5404226183891296,0.7485301494598389,0.591460645198822,0.7214324474334717,0.05446128695712334,0.05588305384379626,0.1118679374971305,0.05089443410633031,0.2731067124043804
42-38-42-40,42,38,42,40,0.5386630296707153,0.7485301494598389,0.591460645198822,0.7217997908592224,0.0545524403143095,0.05588305384379626,0.1118679374971305,0.05081034146032946,0.27311377311556573
47-38-45-39,47,38,45,39,0.5404226183891296,0.7485301494598389,0.5916415452957153,0.7214324474334717,0.05446128695712334,0.05588305384379626,0.11187849624163723,0.05089443410633031,0.2731172711488871
47-38-41-39,47,38,41,39,0.5404226183891296,0.7485301494598389,0.5914580821990967,0.7214324474334717,0.05446128695712334,0.05588305384379626,0.11187993661528238,0.05089443410633031,0.2731187115225323
42-38-45-40,42,38,45,40,0.5386630296707153,0.7485301494598389,0.5916415452957153,0.7217997908592224,0.0545524403143095,0.05588305384379626,0.11187849624163723,0.05081034146032946,0.27312433186007246
42-38-41-40,42,38,41,40,0.5386630296707153,0.7485301494598389,0.5914580821990967,0.7217997908592224,0.0545524403143095,0.05588305384379626,0.11187993661528238,0.05081034146032946,0.2731257722337176
42-38-40-39,42,38,40,39,0.5386630296707153,0.7485301494598389,0.5910818576812744,0.7214324474334717,0.0545524403143095,0.05588305384379626,0.11180201702923849,0.05089443410633031,0.27313194529367457
41-38-42-40,41,38,42,40,0.538421630859375,0.7485301494598389,0.591460645198822,0.7217997908592224,0.05460042296732544,0.05588305384379626,0.1118679374971305,0.05081034146032946,0.27316175576858165
41-38-45-40,41,38,45,40,0.538421630859375,0.7485301494598389,0.5916415452957153,0.7217997908592224,0.05460042296732544,0.05588305384379626,0.11187849624163723,0.05081034146032946,0.2731723145130884
41-38-41-40,41,38,41,40,0.538421630859375,0.7485301494598389,0.5914580821990967,0.7217997908592224,0.05460042296732544,0.05588305384379626,0.11187993661528238,0.05081034146032946,0.2731737548867335
41-38-40-39,41,38,40,39,0.538421630859375,0.7485301494598389,0.5910818576812744,0.7214324474334717,0.05460042296732544,0.05588305384379626,0.11180201702923849,0.05089443410633031,0.2731799279466905
42-38-42-39,42,38,42,39,0.5386630296707153,0.7485301494598389,0.591460645198822,0.7214324474334717,0.0545524403143095,0.05588305384379626,0.1118679374971305,0.05089443410633031,0.27319786576156657
42-38-45-39,42,38,45,39,0.5386630296707153,0.7485301494598389,0.5916415452957153,0.7214324474334717,0.0545524403143095,0.05588305384379626,0.11187849624163723,0.05089443410633031,0.2732084245060733
42-38-41-39,42,38,41,39,0.5386630296707153,0.7485301494598389,0.5914580821990967,0.7214324474334717,0.0545524403143095,0.05588305384379626,0.11187993661528238,0.05089443410633031,0.27320986487971843
