combo,complexity_nii_6584_ew,complexity_halpha_ew,complexity_oiii_5007_ew,complexity_hbeta_ew,r2_nii_6584_ew,r2_halpha_ew,r2_oiii_5007_ew,r2_hbeta_ew,mse_test_nii_6584_ew,mse_test_halpha_ew,mse_test_oiii_5007_ew,mse_test_hbeta_ew,mse_total
43-46-47-45,43,46,47,45,0.5395240187644958,0.7461231350898743,0.5916110873222351,0.7217460870742798,0.0545001875961745,0.05643232816677107,0.11167496598605615,0.05084629435981709,0.2734537761088188
43-44-47-45,43,44,47,45,0.5395240187644958,0.746117115020752,0.5916110873222351,0.7217460870742798,0.0545001875961745,0.05643351845267544,0.11167496598605615,0.05084629435981709,0.27345496639472316
43-43-47-45,43,43,47,45,0.5395240187644958,0.746117115020752,0.5916110873222351,0.7217460870742798,0.0545001875961745,0.05643351986105618,0.11167496598605615,0.05084629435981709,0.2734549678031039
43-45-48-45,43,45,48,45,0.5395240187644958,0.746122419834137,0.5917304754257202,0.7217460870742798,0.0545001875961745,0.05643206615154384,0.11167644356041376,0.05084629435981709,0.2734549916679492
45-47-48-45,45,47,48,45,0.5376781225204468,0.7470830082893372,0.5917304754257202,0.7217460870742798,0.054778589890928577,0.05615386120428056,0.11167644356041376,0.05084629435981709,0.27345518901543997
43-46-48-45,43,46,48,45,0.5395240187644958,0.7461231350898743,0.5917304754257202,0.7217460870742798,0.0545001875961745,0.05643232816677107,0.11167644356041376,0.05084629435981709,0.2734552536831764
45-48-49-45,45,48,49,45,0.5376781225204468,0.747119128704071,0.5918325185775757,0.7217460870742798,0.054778589890928577,0.056167790685154546,0.11166307782829818,0.05084629435981709,0.2734557527641984
43-44-48-45,43,44,48,45,0.5395240187644958,0.746117115020752,0.5917304754257202,0.7217460870742798,0.0545001875961745,0.05643351845267544,0.11167644356041376,0.05084629435981709,0.2734564439690808
43-43-48-45,43,43,48,45,0.5395240187644958,0.746117115020752,0.5917304754257202,0.7217460870742798,0.0545001875961745,0.05643351986105618,0.11167644356041376,0.05084629435981709,0.2734564453774615
44-48-43-43,44,48,43,43,0.538781464099884,0.747119128704071,0.5911560654640198,0.7212280035018921,0.05460980322267459,0.056167790685154546,0.11174325465546278,0.05093583610717092,0.27345668467046286
43-49-43-44,43,49,43,44,0.5395240187644958,0.7463195323944092,0.5911560654640198,0.721671462059021,0.0545001875961745,0.05635883763550915,0.11174325465546278,0.050854788749363035,0.2734570686365095
43-49-49-43,43,49,49,43,0.5395240187644958,0.7463195323944092,0.5918325185775757,0.7212280035018921,0.0545001875961745,0.05635883763550915,0.11166307782829818,0.05093583610717092,0.2734579391671528
43-45-47-44,43,45,47,44,0.5395240187644958,0.746122419834137,0.5916110873222351,0.721671462059021,0.0545001875961745,0.05643206615154384,0.11167496598605615,0.050854788749363035,0.2734620084831375
45-47-47-44,45,47,47,44,0.5376781225204468,0.7470830082893372,0.5916110873222351,0.721671462059021,0.054778589890928577,0.05615386120428056,0.11167496598605615,0.050854788749363035,0.2734622058306283
43-46-47-44,43,46,47,44,0.5395240187644958,0.7461231350898743,0.5916110873222351,0.721671462059021,0.0545001875961745,0.05643232816677107,0.11167496598605615,0.050854788749363035,0.27346227049836475
43-44-47-44,43,44,47,44,0.5395240187644958,0.746117115020752,0.5916110873222351,0.721671462059021,0.0545001875961745,0.05643351845267544,0.11167496598605615,0.050854788749363035,0.27346346078426914
43-43-47-44,43,43,47,44,0.5395240187644958,0.746117115020752,0.5916110873222351,0.721671462059021,0.0545001875961745,0.05643351986105618,0.11167496598605615,0.050854788749363035,0.2734634621926499
43-45-48-44,43,45,48,44,0.5395240187644958,0.746122419834137,0.5917304754257202,0.721671462059021,0.0545001875961745,0.05643206615154384,0.11167644356041376,0.050854788749363035,0.27346348605749515
45-47-48-44,45,47,48,44,0.5376781225204468,0.7470830082893372,0.5917304754257202,0.721671462059021,0.054778589890928577,0.05615386120428056,0.11167644356041376,0.050854788749363035,0.27346368340498595
43-46-48-44,43,46,48,44,0.5395240187644958,0.7461231350898743,0.5917304754257202,0.721671462059021,0.0545001875961745,0.05643232816677107,0.11167644356041376,0.050854788749363035,0.27346374807272233
45-48-49-44,45,48,49,44,0.5376781225204468,0.747119128704071,0.5918325185775757,0.721671462059021,0.054778589890928577,0.056167790685154546,0.11166307782829818,0.050854788749363035,0.27346424715374434
47-48-45-43,47,48,45,43,0.5391425490379333,0.747119128704071,0.5912417769432068,0.7212280035018921,0.054551907544883246,0.056167790685154546,0.1118089871202269,0.05093583610717092,0.2734645214574356
43-44-48-44,43,44,48,44,0.5395240187644958,0.746117115020752,0.5917304754257202,0.721671462059021,0.0545001875961745,0.05643351845267544,0.11167644356041376,0.050854788749363035,0.27346493835862673
43-43-48-44,43,43,48,44,0.5395240187644958,0.746117115020752,0.5917304754257202,0.721671462059021,0.0545001875961745,0.05643351986105618,0.11167644356041376,0.050854788749363035,0.2734649397670075
43-47-46-43,43,47,46,43,0.5395240187644958,0.7470830082893372,0.5906524062156677,0.7212280035018921,0.0545001875961745,0.05615386120428056,0.11187557556415675,0.05093583610717092,0.2734654604717827
45-48-47-45,45,48,47,45,0.5376781225204468,0.747119128704071,0.5916110873222351,0.7217460870742798,0.054778589890928577,0.056167790685154546,0.11167496598605615,0.05084629435981709,0.27346764092195636
