combo,complexity_nii_6584_ew,complexity_halpha_ew,complexity_oiii_5007_ew,complexity_hbeta_ew,r2_nii_6584_ew,r2_halpha_ew,r2_oiii_5007_ew,r2_hbeta_ew,mse_test_nii_6584_ew,mse_test_halpha_ew,mse_test_oiii_5007_ew,mse_test_hbeta_ew,mse_total
24-21-25-25,24,21,25,25,0.5288138389587402,0.7379428744316101,0.5873445868492126,0.7188795208930969,0.05584504664636968,0.05830335416606482,0.11300523105008028,0.0515015428688099,0.2786551747313247
21-22-21-25,21,22,21,25,0.5285353660583496,0.7425686717033386,0.5840564370155334,0.7188795208930969,0.05583469718235582,0.05734209116790993,0.11403045261578781,0.0515015428688099,0.27870878383486347
24-22-21-25,24,22,21,25,0.5288138389587402,0.7425686717033386,0.5840564370155334,0.7188795208930969,0.05584504664636968,0.05734209116790993,0.11403045261578781,0.0515015428688099,0.2787191332988773
21-22-22-24,21,22,22,24,0.5285353660583496,0.7425686717033386,0.5847432613372803,0.7170562148094177,0.05583469718235582,0.05734209116790993,0.11376899799037798,0.05178549557725267,0.2787312819178964
24-22-22-24,24,22,22,24,0.5288138389587402,0.7425686717033386,0.5847432613372803,0.7170562148094177,0.05584504664636968,0.05734209116790993,0.11376899799037798,0.05178549557725267,0.27874163138191027
20-25-22-25,20,25,22,25,0.5259456634521484,0.7434190511703491,0.5847432613372803,0.7188795208930969,0.05626066709103346,0.05721049791278843,0.11376899799037798,0.0515015428688099,0.2787417058630098
21-25-21-24,21,25,21,24,0.5285353660583496,0.7434190511703491,0.5840564370155334,0.7170562148094177,0.05583469718235582,0.05721049791278843,0.11403045261578781,0.05178549557725267,0.27886114328818473
24-25-21-24,24,25,21,24,0.5288138389587402,0.7434190511703491,0.5840564370155334,0.7170562148094177,0.05584504664636968,0.05721049791278843,0.11403045261578781,0.05178549557725267,0.2788714927521986
20-22-22-25,20,22,22,25,0.5259456634521484,0.7425686717033386,0.5847432613372803,0.7188795208930969,0.05626066709103346,0.05734209116790993,0.11376899799037798,0.0515015428688099,0.2788732991181313
21-21-25-24,21,21,25,24,0.5285353660583496,0.7379428744316101,0.5873445868492126,0.7170562148094177,0.05583469718235582,0.05830335416606482,0.11300523105008028,0.05178549557725267,0.2789287779757536
24-21-25-24,24,21,25,24,0.5288138389587402,0.7379428744316101,0.5873445868492126,0.7170562148094177,0.05584504664636968,0.05830335416606482,0.11300523105008028,0.05178549557725267,0.27893912743976745
21-22-21-24,21,22,21,24,0.5285353660583496,0.7425686717033386,0.5840564370155334,0.7170562148094177,0.05583469718235582,0.05734209116790993,0.11403045261578781,0.05178549557725267,0.27899273654330625
24-22-21-24,24,22,21,24,0.5288138389587402,0.7425686717033386,0.5840564370155334,0.7170562148094177,0.05584504664636968,0.05734209116790993,0.11403045261578781,0.05178549557725267,0.2790030860073201
20-25-21-25,20,25,21,25,0.5259456634521484,0.7434190511703491,0.5840564370155334,0.7188795208930969,0.05626066709103346,0.05721049791278843,0.11403045261578781,0.0515015428688099,0.2790031604884196
20-25-22-24,20,25,22,24,0.5259456634521484,0.7434190511703491,0.5847432613372803,0.7170562148094177,0.05626066709103346,0.05721049791278843,0.11376899799037798,0.05178549557725267,0.27902565857145256
25-21-22-25,25,21,22,25,0.5311232805252075,0.7379428744316101,0.5847432613372803,0.7188795208930969,0.05548573202490148,0.05830335416606482,0.11376899799037798,0.0515015428688099,0.2790596270501542
20-21-25-25,20,21,25,25,0.5259456634521484,0.7379428744316101,0.5873445868492126,0.7188795208930969,0.05626066709103346,0.05830335416606482,0.11300523105008028,0.0515015428688099,0.2790707951759885
20-22-21-25,20,22,21,25,0.5259456634521484,0.7425686717033386,0.5840564370155334,0.7188795208930969,0.05626066709103346,0.05734209116790993,0.11403045261578781,0.0515015428688099,0.27913475374354113
