seed,p_energy,p_wasserstein,d_ks2d,d_kl
12471,0.06065,0.02,0.1225,0.5566519379140265
18707,0.051500000000000004,0.02,0.133,0.5562024081556267
13018,0.05862500000000001,0.125,0.13199999999999998,0.5277535418322934
13436,0.06197500000000001,0.025,0.115,0.5477457595203501
16167,0.058675000000000005,0.01,0.12800000000000003,0.5292459221643113
16472,0.05095000000000001,0.075,0.131,0.5621288397937778
10287,0.058800000000000005,0.05,0.14400000000000002,0.5470837252315351
19948,0.06495000000000001,0.01,0.1345,0.5486400207440116
19203,0.062775,0.125,0.126,0.5465657424047531
11632,0.062075,0.025,0.1235,0.5460866717449464
14343,0.06237500000000001,0.085,0.1155,0.549451267979029
12554,0.06075,0.015,0.12900000000000003,0.5397007513201593
10838,0.0449,0.26,0.10599999999999998,0.5516856298295746
17636,0.054975,0.17,0.11349999999999999,0.5321167577169532
13780,0.058675000000000005,0.05,0.13,0.5322734922013472
18749,0.059425,0.02,0.12799999999999997,0.5180349954480983
17108,0.054924999999999995,0.03,0.13099999999999998,0.5615956659028476
15783,0.058025,0.15,0.119,0.5423775997920874
11188,0.058375,0.08,0.133,0.5454946537246588
13694,0.055900000000000005,0.175,0.1275,0.5459582162833932
12776,0.059250000000000004,0.085,0.11850000000000002,0.5219764785797335
16411,0.06265000000000001,0.035,0.13,0.5379798331501806
17628,0.05982500000000001,0.07,0.13249999999999998,0.5548873390639546
18663,0.05185000000000001,0.06,0.132,0.5425601724744566
18132,0.052575000000000004,0.115,0.13599999999999998,0.5580419135232858
11227,0.052825000000000004,0.07,0.13649999999999998,0.5402377756032053
15924,0.05205,0.01,0.125,0.5516200486646767
15380,0.05315,0.15,0.1405,0.5424114452249857
16701,0.05997500000000001,0.065,0.15399999999999997,0.5344413866355179
15603,0.0545,0.12,0.11649999999999999,0.5455610834959348
19815,0.0632,0.125,0.14100000000000001,0.5526180428102707
12757,0.052300000000000006,0.02,0.14200000000000002,0.5332124401067202
18371,0.05430000000000001,0.025,0.13,0.5633400709068689
17768,0.063975,0.06,0.11399999999999999,0.535980735784277
16577,0.0541,0.075,0.11150000000000002,0.5634617328974951
14642,0.05775,0.09,0.1145,0.5367580871248608
18666,0.054299999999999994,0.005,0.12500000000000003,0.5341051516913589
12761,0.062625,0.015,0.11049999999999999,0.5269328141041867
14356,0.058875000000000004,0.105,0.126,0.5357656235934305
15500,0.05932500000000001,0.05,0.139,0.5507999937121184
13342,0.051275,0.095,0.11950000000000001,0.5442874081738382
15858,0.06825,0.005,0.13449999999999998,0.5382150537964137
18146,0.06775,0.015,0.11549999999999999,0.5227158219276259
14731,0.06535,0.01,0.10299999999999998,0.5379370976446527
14843,0.052125000000000005,0.065,0.121,0.5749247096993708
11475,0.06805,0.075,0.1435,0.5601465449982844
16674,0.0588,0.005,0.1275,0.5519768997057893
